
======================================================================
EXPERIMENT 5 QUANTITATIVE RESULTS
======================================================================

FILE_ID | MEAN_DEPTH | MAX_DEPTH | MIN_DEPTH | STD_DEPTH | POINTS
000312 | 0.5334 | 0.9823 | 0.0291 | 0.3678 | 122880
000313 | 0.4102 | 0.9707 | 0.0274 | 0.3440 | 122880
000314 | 0.3355 | 0.9631 | 0.0296 | 0.3552 | 122880
000315 | 0.5190 | 0.9659 | 0.0257 | 0.3654 | 122880
000316 | 0.5314 | 0.9779 | 0.0279 | 0.3921 | 122880
000317 | 0.5201 | 0.9762 | 0.0290 | 0.3788 | 122880
000318 | 0.4524 | 0.9784 | 0.0257 | 0.3619 | 122880
000319 | 0.5384 | 0.9686 | 0.0286 | 0.3716 | 122880
000320 | 0.4815 | 0.9783 | 0.0287 | 0.3617 | 122880
000321 | 0.4572 | 0.9719 | 0.0280 | 0.3810 | 122880
000322 | 0.4627 | 0.9802 | 0.0270 | 0.3627 | 122880
000323 | 0.4838 | 0.9706 | 0.0278 | 0.3814 | 122880
000324 | 0.4284 | 0.9692 | 0.0291 | 0.3679 | 122880
000325 | 0.4596 | 0.9726 | 0.0300 | 0.3612 | 122880
000326 | 0.4485 | 0.9692 | 0.0289 | 0.3590 | 122880
000327 | 0.4237 | 0.9734 | 0.0299 | 0.3707 | 122880
000328 | 0.6097 | 0.9784 | 0.0275 | 0.3723 | 122880
000329 | 0.5388 | 0.9765 | 0.0282 | 0.3820 | 122880
000330 | 0.5351 | 0.9752 | 0.0276 | 0.3885 | 122880
000331 | 0.4964 | 0.9635 | 0.0282 | 0.3910 | 122880
000332 | 0.5518 | 0.9707 | 0.0283 | 0.3884 | 122880
000333 | 0.5683 | 0.9782 | 0.0281 | 0.3704 | 122880
000334 | 0.2903 | 0.9749 | 0.0288 | 0.3268 | 122880
000335 | 0.5019 | 0.9770 | 0.0284 | 0.3839 | 122880
000336 | 0.4823 | 0.9799 | 0.0276 | 0.3802 | 122880
000337 | 0.4540 | 0.9687 | 0.0290 | 0.3686 | 122880
000338 | 0.5584 | 0.9745 | 0.0281 | 0.3896 | 122880
000339 | 0.6441 | 0.9736 | 0.0290 | 0.3821 | 122880
000340 | 0.3732 | 0.9668 | 0.0287 | 0.3662 | 122880
000341 | 0.6095 | 0.9760 | 0.0274 | 0.3775 | 122880
000342 | 0.5876 | 0.9840 | 0.0283 | 0.3804 | 122880
000343 | 0.2894 | 0.9775 | 0.0278 | 0.3553 | 122880
000344 | 0.4408 | 0.9715 | 0.0286 | 0.3513 | 122880
000345 | 0.5272 | 0.9692 | 0.0292 | 0.4014 | 122880
000346 | 0.5000 | 0.9712 | 0.0272 | 0.3565 | 122880
000347 | 0.3925 | 0.9762 | 0.0287 | 0.3842 | 122880
000348 | 0.6001 | 0.9798 | 0.0274 | 0.3749 | 122880
000349 | 0.5746 | 0.9722 | 0.0279 | 0.3603 | 122880
000350 | 0.5526 | 0.9837 | 0.0279 | 0.3721 | 122880
000351 | 0.5813 | 0.9681 | 0.0286 | 0.3851 | 122880
000352 | 0.5139 | 0.9741 | 0.0289 | 0.3938 | 122880
000353 | 0.3954 | 0.9739 | 0.0280 | 0.3631 | 122880
000354 | 0.5037 | 0.9815 | 0.0287 | 0.3643 | 122880
