step,epoch
64449,76.0
64499,76.0
64549,76.0
64599,76.0
64649,76.0
64699,76.0
64749,76.0
64799,76.0
64833,76.0
64833,76.0
64849,77.0
64899,77.0
64949,77.0
64999,77.0
65049,77.0
65099,77.0
65149,77.0
65199,77.0
65249,77.0
65299,77.0
65349,77.0
65399,77.0
65449,77.0
65499,77.0
65549,77.0
65599,77.0
65649,77.0
65675,77.0
65675,77.0
65699,78.0
65749,78.0
65799,78.0
65849,78.0
65899,78.0
65949,78.0
65999,78.0
66049,78.0
66099,78.0
66149,78.0
66199,78.0
66249,78.0
66299,78.0
66349,78.0
66399,78.0
66449,78.0
66499,78.0
66517,78.0
66517,78.0
66549,79.0
66599,79.0
66649,79.0
66699,79.0
66749,79.0
66799,79.0
66849,79.0
66899,79.0
66949,79.0
66999,79.0
67049,79.0
67099,79.0
67149,79.0
67199,79.0
67249,79.0
67299,79.0
67349,79.0
67359,79.0
67359,79.0
67399,80.0
67449,80.0
67499,80.0
67549,80.0
67599,80.0
67649,80.0
67699,80.0
67749,80.0
67799,80.0
67849,80.0
67899,80.0
67949,80.0
67999,80.0
68049,80.0
68099,80.0
68149,80.0
68199,80.0
68201,80.0
68201,80.0
68249,81.0
68299,81.0
68349,81.0
68399,81.0
68449,81.0
68499,81.0
68549,81.0
68599,81.0
68649,81.0
68699,81.0
68749,81.0
68799,81.0
68849,81.0
68899,81.0
68949,81.0
68999,81.0
69043,81.0
69043,81.0
69049,82.0
69099,82.0
69149,82.0
69199,82.0
69249,82.0
69299,82.0
69349,82.0
69399,82.0
69449,82.0
69499,82.0
69549,82.0
69599,82.0
69649,82.0
69699,82.0
69749,82.0
69799,82.0
69849,82.0
69885,82.0
69885,82.0
69899,83.0
69949,83.0
69999,83.0
70049,83.0
70099,83.0
70149,83.0
70199,83.0
70249,83.0
70299,83.0
70349,83.0
70399,83.0
70449,83.0
70499,83.0
70549,83.0
70599,83.0
70649,83.0
70699,83.0
70727,83.0
70727,83.0
70749,84.0
70799,84.0
70849,84.0
70899,84.0
70949,84.0
70999,84.0
71049,84.0
71099,84.0
71149,84.0
